id,endTime,ticket,startedAt,numberOfBets,payout,serverSeed
00c46efc-3f82-47e2-bdbf-bd485c6df848,1702225707773,378,1702225685610,0,0,f7a5c22d2985d165083d0857df942764ea8f464b9acd604818844d85849107c6
c381673a-ca88-41b9-9891-370649a3324c,1702225678551,100,1702225678551,0,0,026341a1647021e3a4a97ee8e66768724c6e688711f5937d0453ea6411511049
637c65b2-1f35-4f73-8502-805d5f424fd1,1702225671213,317,1702225651984,0,0,46729743c5a01c12f4aba0f690b01de46186570ab4b99175f246740159346858
4b1bcff1-969d-4528-8b01-baf4b9e0420c,1702225644690,205,1702225632726,0,0,d4834a340bd1049e7cdca6b0a30375945e389bf3520af2cd11154b22fae23db1
3f576296-fb40-4111-81cd-dec44d121023,1702225625405,104,1702225624751,0,0,3302b9e6cab248af31811be970023a250aa3caa0641e1d0a40326372228ec168
364eb0e6-d87f-4590-a040-a5b959500ad1,1702225617522,121,1702225614344,0,0,4c2cb1c335c6d3cc8d09bcd3ad28a7c29ddae7f9c9999b8248f5b8dd85cfb2e4
a81e8831-4532-4395-b4a8-769a9515188d,1702225607266,170,1702225598422,0,0,8de7f9227e2477a47ccb6814fba3fa4ce5d40a249566b072fa4581b4deed820c
c4db063f-b17b-48e9-a920-cbefb5b33a45,1702225591386,633,1702225560630,0,0,750e5ccf97d9d0d9af975ef41c66ce8d3235961538664ec8f1e252eed842e2ce
3687d673-5976-42c2-b499-69676844c63d,1702225553317,250,1702225538045,0,0,c3cb91850243658a29a493840b1f588adbf00b1fd2d1a3206f8d0ca50eddba39
b97b0418-b157-405a-9207-00dbc6f3080e,1702225530978,173,1702225521842,0,0,7528d5d069979c0fb30b3405b145d6820ccb42bf4fe620fe29a71034d3da557c
f2a48bb7-2438-45eb-aac9-0ac77112b26d,1702225514503,538,1702225486458,0,0,2b3462c1435a3d6604e5441be6d66080ca62f5555a331727e491676ab35eabc6
91f0aa5b-a9bf-44e9-949b-9800bfcdb3ae,1702225479345,282,1702225462066,0,0,1205d9c475b90fd6d13d544981c3c23ed01f37de5403f78c854d9eb1f5fc12e9
63c22ef9-3b5c-4574-ae57-835acc180816,1702225454746,300,1702225436435,0,0,3c47d247c180fa074fe3130e6690d8949f133afbe19241e190bd14df9f62a26e
0c93cc96-6e47-4ec2-9410-aa312fd98c1f,1702225429172,121,1702225425994,0,0,16fc391398a72fcc593c23c0ffef4b7242c022653cca59e3e3831fc5e8736eca
8a81cc25-736e-4ea1-9a21-c29b63277f5a,1702225418647,116,1702225416173,0,0,76099c75114947bce2871ae10b4f8e5236e0fb971b297a47e50ceddac2d6c631
c96b388b-f697-4bf3-a43d-858d5dee6166,1702225408893,2808,1702225353308,0,0,5a2ef8cdd9ea997d38d2de51ef0946afee40523c2de2c96eba5050cfb407b579
48f39c1f-1af7-40cc-8036-4bf77d606adb,1702225346160,222,1702225332868,0,0,e1efe7a6841e55f28c05f197c2f88c3e8ae9219dd5b758f5cb9b366a2ee6108a
d777e498-1806-48b2-a115-2f0be28c45c7,1702225325693,146,1702225319385,0,0,bf6293ba50165ab5e956c5c6316229a44297bed5dba9dd6f32960f3ca92cd721
60ea1259-5365-4ecf-9e93-bf31270283cf,1702225312286,365,1702225290707,0,0,363525d05ba213048ba08e1800d01baa35b2805908d69e5a4916bcdd730c2141
b4bc472e-d9e4-4c7a-8ddb-e4291bb898d2,1702225283558,109,1702225282121,0,0,167f2be4d0b153b2e879fad38c81b176008dc6268144f8a4d8d40f4adfd6845d
23dd296a-bd9f-4282-bb64-162851891283,1702225274801,341,1702225254355,0,0,6be6663de135dca08b6984cf491594b912c4fc9746a75dbae093b6e1b78bfb1d
